tdate,AEX,CAC,DAX,FTSE,MIB,OMX,SMI,SPX,TSX,AS51,HSI,NKY,SG,IBEX
2010-06-29,-0.04678176914011281,-0.04678176914011281,0.0,-0.04678176914011281,0.0,0.04678176914011281,0.04678176914011281,0.0,0.04678176914011281,0.04678176914011281,0.0,-0.04678176914011281,0.0,0.0
2010-06-30,0.0,-0.048112617240550125,-0.048112617240550125,-0.048112617240550125,0.048112617240550125,0.0,0.048112617240550125,0.048112617240550125,0.0,0.0,-0.048112617240550125,0.048112617240550125,0.0,0.0
2010-07-01,0.0,-0.048112617240550125,-0.048112617240550125,-0.048112617240550125,0.048112617240550125,0.0,0.048112617240550125,0.048112617240550125,0.0,0.0,-0.048112617240550125,0.048112617240550125,0.0,0.0
2010-07-02,0.0,-0.048112617240550125,-0.048112617240550125,-0.048112617240550125,0.048112617240550125,0.0,0.048112617240550125,0.048112617240550125,0.0,0.0,-0.048112617240550125,0.048112617240550125,0.0,0.0
2010-07-05,0.0,-0.048112617240550125,-0.048112617240550125,-0.048112617240550125,0.048112617240550125,0.0,0.048112617240550125,0.048112617240550125,0.0,0.0,-0.048112617240550125,0.048112617240550125,0.0,0.0
2010-07-06,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-07,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-08,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-09,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-12,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-13,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-14,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-15,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-16,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-19,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-20,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-21,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-22,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-23,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-26,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-27,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-28,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-29,0.0,-0.05048022037351168,-0.05048022037351168,-0.05048022037351168,0.05048022037351168,0.0,0.05048022037351168,0.05048022037351168,0.0,0.0,-0.05048022037351168,0.05048022037351168,0.0,0.0
2010-07-30,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-02,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-03,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-04,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-05,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-06,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-09,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-10,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-11,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-12,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-13,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-16,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-17,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-18,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-19,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-20,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-23,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-24,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-25,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-26,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-27,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-30,0.04234836857012627,0.0,0.04234836857012627,0.04234836857012627,0.0,0.0,-0.04234836857012627,-0.04234836857012627,-0.04234836857012627,0.04234836857012627,-0.04234836857012627,0.0,0.0,0.0
2010-08-31,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-01,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-02,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-03,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-06,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-07,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-08,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-09,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-10,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-13,0.0,-0.044586950160384275,-0.044586950160384275,-0.044586950160384275,0.044586950160384275,0.0,0.0,0.044586950160384275,0.044586950160384275,0.0,-0.044586950160384275,0.044586950160384275,0.0,0.0
2010-09-14,0.0,-0.0494069459523712,-0.0494069459523712,-0.0494069459523712,0.0494069459523712,0.0,0.0,0.0494069459523712,0.0494069459523712,0.0,-0.0494069459523712,0.0494069459523712,0.0,0.0
2010-09-15,0.0,-0.0494069459523712,-0.0494069459523712,-0.0494069459523712,0.0494069459523712,0.0,0.0,0.0494069459523712,0.0494069459523712,0.0,-0.0494069459523712,0.0494069459523712,0.0,0.0
2010-09-16,0.0,-0.0494069459523712,-0.0494069459523712,-0.0494069459523712,0.0494069459523712,0.0,0.0,0.0494069459523712,0.0494069459523712,0.0,-0.0494069459523712,0.0494069459523712,0.0,0.0
2010-09-17,0.0,-0.0494069459523712,-0.0494069459523712,-0.0494069459523712,0.0494069459523712,0.0,0.0,0.0494069459523712,0.0494069459523712,0.0,-0.0494069459523712,0.0494069459523712,0.0,0.0
2010-09-20,0.0,-0.0494069459523712,-0.0494069459523712,-0.0494069459523712,0.0494069459523712,0.0,0.0,0.0494069459523712,0.0494069459523712,0.0,-0.0494069459523712,0.0494069459523712,0.0,0.0
2010-09-21,0.0,-0.05609054501287216,-0.05609054501287216,-0.05609054501287216,0.05609054501287216,0.0,0.0,0.05609054501287216,0.05609054501287216,0.0,-0.05609054501287216,0.05609054501287216,0.0,0.0
2010-09-22,0.0,-0.05609054501287216,-0.05609054501287216,-0.05609054501287216,0.05609054501287216,0.0,0.0,0.05609054501287216,0.05609054501287216,0.0,-0.05609054501287216,0.05609054501287216,0.0,0.0
2010-09-23,0.0,-0.05609054501287216,-0.05609054501287216,-0.05609054501287216,0.05609054501287216,0.0,0.0,0.05609054501287216,0.05609054501287216,0.0,-0.05609054501287216,0.05609054501287216,0.0,0.0
2010-09-24,0.0,-0.05609054501287216,-0.05609054501287216,-0.05609054501287216,0.05609054501287216,0.0,0.0,0.05609054501287216,0.05609054501287216,0.0,-0.05609054501287216,0.05609054501287216,0.0,0.0
2010-09-27,0.0,-0.05609054501287216,-0.05609054501287216,-0.05609054501287216,0.05609054501287216,0.0,0.0,0.05609054501287216,0.05609054501287216,0.0,-0.05609054501287216,0.05609054501287216,0.0,0.0
2010-09-28,0.0,-0.06371187467005218,-0.06371187467005218,-0.06371187467005218,0.06371187467005218,0.0,0.0,0.06371187467005218,0.06371187467005218,0.0,-0.06371187467005218,0.06371187467005218,0.0,0.0
2010-09-29,0.0,-0.06371187467005218,-0.06371187467005218,-0.06371187467005218,0.06371187467005218,0.0,0.0,0.06371187467005218,0.06371187467005218,0.0,-0.06371187467005218,0.06371187467005218,0.0,0.0
2010-09-30,0.0,0.0,0.06746326816480894,0.06746326816480894,-0.06746326816480894,0.06746326816480894,0.0,-0.06746326816480894,-0.06746326816480894,0.06746326816480894,0.0,-0.06746326816480894,0.0,0.0
2010-10-01,0.0,0.0,0.06746326816480894,0.06746326816480894,-0.06746326816480894,0.06746326816480894,0.0,-0.06746326816480894,-0.06746326816480894,0.06746326816480894,0.0,-0.06746326816480894,0.0,0.0
