tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
2005-08-05,0.06373881692210762,0.0,0.0,0.0,0.0,0.0,0.06373881692210762,0.0,0.06373881692210762,0.0
2005-08-08,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-09,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-10,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-11,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-12,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-15,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-16,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-17,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-18,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-19,0.06540068161846622,0.0,0.0,0.0,0.0,0.0,0.06540068161846622,0.0,0.06540068161846622,0.0
2005-08-22,0.06742335959272179,0.0,0.0,0.0,0.0,0.0,0.06742335959272179,0.0,0.06742335959272179,0.0
2005-08-23,0.06742335959272179,0.0,0.0,0.0,0.0,0.0,0.06742335959272179,0.0,0.06742335959272179,0.0
2005-08-24,0.06742335959272179,0.0,0.0,0.0,0.0,0.0,0.06742335959272179,0.0,0.06742335959272179,0.0
2005-08-25,0.06742335959272179,0.0,0.0,0.0,0.0,0.0,0.06742335959272179,0.0,0.06742335959272179,0.0
2005-08-26,0.06742335959272179,0.0,0.0,0.0,0.0,0.0,0.06742335959272179,0.0,0.06742335959272179,0.0
2005-08-29,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06546894138847281,0.0,0.06552736768873559,0.0
2005-08-30,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.0652702106705969,0.0,0.06552736768873559,0.0
2005-08-31,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.0652702106705969,0.0,0.06552736768873559,0.0
2005-09-01,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.0652702106705969,0.0,0.06552736768873559,0.0
2005-09-02,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-05,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-06,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-07,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-08,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-09,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-12,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-13,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-14,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-15,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-16,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-19,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-20,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-21,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-22,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-23,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.06552736768873559,0.0
2005-09-26,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06409498690717871,0.0,0.06552736768873559,0.0
2005-09-27,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06409498690717871,0.0,0.06552736768873559,0.0
2005-09-28,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06452553679043523,0.0,0.06552736768873559,0.0
2005-09-29,0.06552736768873559,0.0,0.0,0.0,0.0,0.0,0.06448170265278831,0.0,0.06552736768873559,0.0
2005-09-30,0.06552736768873559,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.0,0.06552736768873559,0.0
2005-10-03,0.06552736768873559,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.0,0.06552736768873559,0.0
2005-10-04,0.06552736768873559,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.0,0.06552736768873559,0.0
2005-10-05,0.06552736768873559,0.0,0.0,0.0,0.0,0.06552736768873559,0.0,0.0,0.06552736768873559,0.0
2005-10-06,0.06207681842435456,0.0,0.0,0.0,0.0,0.05962453045745309,0.0,0.0,0.06207681842435456,0.0
2005-10-07,0.06207681842435456,0.0,0.0,0.0,0.0,0.05962453045745309,0.0,0.0,0.06207681842435456,0.0
2005-10-10,0.06207681842435456,0.0,0.0,0.0,0.0,0.05962453045745309,0.0,0.0,0.06207681842435456,0.0
2005-10-11,0.06207681842435456,0.0,0.0,0.0,0.0,0.05962453045745309,0.0,0.0,0.06207681842435456,0.0
2005-10-12,0.06207681842435456,0.0,0.0,0.0,0.0,0.05767010123880504,0.0,0.0,0.06207681842435456,0.0
2005-10-13,0.06207681842435456,0.0,0.0,0.0,0.0,0.0574308476305044,0.0,0.0,0.06207681842435456,0.0
2005-10-14,0.06207681842435456,0.0,0.0,0.0,0.0,0.0574308476305044,0.0,0.0,0.06207681842435456,0.0
2005-10-17,0.06207681842435456,0.0,0.0,0.0,0.0,0.05563425457636792,0.0,0.0,0.06207681842435456,0.0
