tdate,AEX,AS51,CAC,DAX,FTSE,HSI,IBEX,MIB,NKY,OMX,SG,SMI,SPX,TSX
2018-10-17,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04824245568140474,0.0548324220830948,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-18,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04824245568140474,0.0548324220830948,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-19,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04824245568140474,0.0548324220830948,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-22,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04824245568140474,0.0548324220830948,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-23,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04780771810720873,0.05111184329810402,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-24,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04723185330183737,0.05141052400593214,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-25,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04726163017850508,0.04897741065000684,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-26,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04726163017850508,0.04897741065000684,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-29,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04757231787371349,0.048971483105170556,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-30,-0.055494740043352545,-0.055494740043352545,0.055494740043352545,0.0,-0.055494740043352545,0.0,0.0,0.04757231787371349,0.048971483105170556,-0.055494740043352545,0.0,-0.055494740043352545,-0.055494740043352545,0.055494740043352545
2018-10-31,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.04242065523028546,0.0,-0.04757231787371349,0.048971483105170556,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-01,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.04242065523028546,0.0,-0.04757231787371349,0.048971483105170556,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-02,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03948674639093485,0.0,-0.04755151373892461,0.0444611833014983,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-05,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03948674639093485,0.0,-0.04755151373892461,0.0444611833014983,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-06,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03948674639093485,0.0,-0.04755151373892461,0.0444611833014983,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-07,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03948674639093485,0.0,-0.04755151373892461,0.0444611833014983,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-08,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03948674639093485,0.0,-0.04755151373892461,0.0444611833014983,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-09,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03948674639093485,0.0,-0.04755151373892461,0.0444611833014983,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-12,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03861236115885049,0.0,-0.04790406661183749,0.044966189841726394,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-13,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03861236115885049,0.0,-0.04790406661183749,0.044966189841726394,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-14,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03861236115885049,0.0,-0.04790406661183749,0.044966189841726394,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-15,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03861236115885049,0.0,-0.04790406661183749,0.044966189841726394,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-16,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03861236115885049,0.0,-0.04790406661183749,0.044966189841726394,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-19,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.03861236115885049,0.0,-0.04790406661183749,0.044966189841726394,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-20,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037749499439747584,0.0,-0.04744257726320855,0.04471020222948268,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-21,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037749499439747584,0.0,-0.04744257726320855,0.04471020222948268,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-22,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037749499439747584,0.0,-0.04744257726320855,0.04471020222948268,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-23,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037749499439747584,0.0,-0.04744257726320855,0.04471020222948268,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-26,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037330246896815245,0.0,-0.04525174230990354,0.044561516143192925,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-27,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037330246896815245,0.0,-0.04525174230990354,0.044561516143192925,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-28,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037330246896815245,0.0,-0.04525174230990354,0.044561516143192925,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-29,0.0,0.055494740043352545,-0.055494740043352545,0.0,0.0,-0.037330246896815245,0.0,-0.04525174230990354,0.044561516143192925,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0
2018-11-30,0.0,0.055494740043352545,0.0,0.05503478158089949,0.0,0.0,0.0,0.0,-0.044561516143192925,0.0,0.0,0.0,0.0,0.0
2018-12-03,0.0,0.055494740043352545,0.0,0.05503478158089949,0.0,0.0,0.0,0.0,-0.044561516143192925,0.0,0.0,0.0,0.0,0.0
2018-12-04,0.0,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0,0.0,0.0,-0.04296149600346097,0.0,0.0,0.0,0.0,0.0
2018-12-05,0.0,0.055494740043352545,0.0,0.055494740043352545,0.0,0.0,0.0,0.0,-0.04296149600346097,0.0,0.0,0.0,0.0,0.0
2018-12-06,0.0,0.055494740043352545,0.0,0.05177020613487343,0.0,0.0,0.0,0.0,-0.042670269046681565,0.0,0.0,0.0,0.0,0.0
2018-12-07,0.0,0.055494740043352545,0.0,0.05177020613487343,0.0,0.0,0.0,0.0,-0.042670269046681565,0.0,0.0,0.0,0.0,0.0
2018-12-10,0.0,0.055494740043352545,0.0,0.05177020613487343,0.0,0.0,0.0,0.0,-0.042670269046681565,0.0,0.0,0.0,0.0,0.0
2018-12-11,0.0,0.055494740043352545,0.0,0.04963519368025562,0.0,0.0,0.0,0.0,-0.042110028558565965,0.0,0.0,0.0,0.0,0.0
2018-12-12,0.0,0.055494740043352545,0.0,0.04963519368025562,0.0,0.0,0.0,0.0,-0.042110028558565965,0.0,0.0,0.0,0.0,0.0
2018-12-13,0.0,0.055494740043352545,0.0,0.04963519368025562,0.0,0.0,0.0,0.0,-0.042110028558565965,0.0,0.0,0.0,0.0,0.0
2018-12-14,0.0,0.055494740043352545,0.0,0.04963519368025562,0.0,0.0,0.0,0.0,-0.042110028558565965,0.0,0.0,0.0,0.0,0.0
2018-12-17,0.0,0.055494740043352545,0.0,0.04963519368025562,0.0,0.0,0.0,0.0,-0.042110028558565965,0.0,0.0,0.0,0.0,0.0
2018-12-18,0.0,0.055494740043352545,0.0,0.04963519368025562,0.0,0.0,0.0,0.0,-0.042110028558565965,0.0,0.0,0.0,0.0,0.0
2018-12-19,0.0,0.05675093756486261,0.0,0.0507587525478546,0.0,0.0,0.0,0.0,-0.04306324526819762,0.0,0.0,0.0,0.0,0.0
2018-12-20,0.0,0.05675093756486261,0.0,0.051604992619057814,0.0,0.0,0.0,0.0,-0.04038734832163525,0.0,0.0,0.0,0.0,0.0
2018-12-21,0.0,0.05675093756486261,0.0,0.051604992619057814,0.0,0.0,0.0,0.0,-0.04038734832163525,0.0,0.0,0.0,0.0,0.0
2018-12-24,0.0,0.05675093756486261,0.0,0.052000831574399366,0.0,0.0,0.0,0.0,-0.0402260239201387,0.0,0.0,0.0,0.0,0.0
2018-12-25,0.0,0.05675093756486261,0.0,0.05208210598554373,0.0,0.0,0.0,0.0,-0.037909140016989584,0.0,0.0,0.0,0.0,0.0
2018-12-26,0.0,0.05675093756486261,0.0,0.05208633548042526,0.0,0.0,0.0,0.0,-0.037028289154396335,0.0,0.0,0.0,0.0,0.0
2018-12-27,0.0,0.05675093756486261,0.0,0.050816353378843174,0.0,0.0,0.0,0.0,-0.03634384945355003,0.0,0.0,0.0,0.0,0.0
2018-12-28,0.0,0.05675093756486261,0.0,0.04976902071201979,0.0,0.0,0.0,0.0,-0.036397250743785525,0.0,0.0,0.0,0.0,0.0
2018-12-31,-0.05675093756486261,0.05675093756486261,0.0,0.04976902071201979,0.05675093756486261,-0.03705426540427882,0.0,0.044367834867454894,0.0,0.053058820154555215,0.0,0.05305737400290355,-0.041195672078089114,0.0
2019-01-01,-0.05675093756486261,0.05675093756486261,0.0,0.04976902071201979,0.05675093756486261,-0.03705426540427882,0.0,0.044367834867454894,0.0,0.053058820154555215,0.0,0.05305737400290355,-0.041195672078089114,0.0
2019-01-02,-0.05675093756486261,0.05675093756486261,0.0,0.04976902071201979,0.05675093756486261,-0.03705426540427882,0.0,0.044367834867454894,0.0,0.053058820154555215,0.0,0.05305737400290355,-0.041195672078089114,0.0
2019-01-03,-0.05675093756486261,0.05675093756486261,0.0,0.04976902071201979,0.05675093756486261,-0.03705426540427882,0.0,0.044367834867454894,0.0,0.053058820154555215,0.0,0.05305737400290355,-0.041195672078089114,0.0
