ticker,tdate,err,dps,dps1,fx,m2gdp,eps,eps1,roa,icr,growthvalue,ivol
MIB,2012-09-28,-200.0,24.673,27.374,95.333,81.4981,65.635,8.821,0.28212765,1.5183121,1438.1604,27.45
MIB,2012-11-30,-400.0,24.34,27.052,96.3758,82.18027,63.93,8.209,0.33348334,1.4854308,1454.4429,17.52
MIB,2012-12-31,-130.0,24.357,26.861,97.352,82.93915,63.316,7.661,0.3307591,1.485715,1451.4247,21.98
MIB,2013-01-31,-826.0,24.159,26.607,100.2624,83.29714,61.781,8.236,0.3306818,1.4858072,1458.2086,22.48
MIB,2013-02-28,-652.0,23.777,26.646,98.0702,83.96065,60.839,7.814,0.70144737,4.4720945,1400.1173,27.38
MIB,2013-03-29,-609.0,23.039,23.06,96.8448,84.8674,59.499,7.374,0.7014829,4.4720716,1416.4379,24.51
MIB,2013-04-30,-522.0,23.055,22.432,98.4793,85.701355,58.706,7.639,0.7012677,4.473491,1471.8683,24.66
MIB,2013-05-31,-565.0,23.491,22.423,98.8235,86.08595,57.252,7.715,0.5918802,2.3453596,1525.5149,22.11
MIB,2013-06-28,-273.0,23.664,22.742,99.6068,87.292,56.087,7.214,0.63226414,2.350416,1353.7401,23.82
MIB,2013-07-31,-545.0,23.654,22.73,101.1943,87.664406,55.595,7.554,0.63220143,2.350729,1496.9395,20.73
MIB,2013-08-30,-273.0,23.624,22.819,101.0903,87.62035,54.684,7.786,0.53193873,2.0601032,1501.079,24.86
MIB,2013-09-30,-91.0,23.526,22.66,101.8025,87.59215,55.228,7.747,0.56760967,2.1317396,1568.2383,22.31
MIB,2013-10-31,-409.0,23.528,22.814,101.9064,87.63772,55.333,7.436,0.5671917,2.1309836,1700.5367,20.4
MIB,2013-11-29,-364.0,22.532,22.79,102.8774,87.62262,55.08,6.971,0.5818312,1.5179329,1662.6735,18.49
MIB,2013-12-31,-182.0,22.562,22.787,103.8464,88.12023,54.518,7.289,0.5779468,1.4840963,1656.9138,19.17
MIB,2014-01-31,-391.0,22.944,23.744,103.3887,88.65799,56.044,7.781,0.5674616,1.4838045,1720.5424,22.49
MIB,2014-02-28,0.0,23.232,23.733,104.7468,89.22975,55.646,8.026,0.39488006,3.0680785,1778.6737,18.12
MIB,2014-03-31,-217.0,22.86,25.533,104.6203,89.09974,55.2,7.228,0.39533386,3.0682402,1938.8824,18.96
MIB,2014-04-30,-417.0,22.782,22.522,105.0685,88.78201,55.173,7.105,0.35187736,3.068266,1932.6925,19.43
MIB,2014-05-30,-250.0,22.968,21.845,103.4893,88.898,55.331,7.537,0.33060807,1.3525132,1914.9926,20.57
MIB,2014-06-30,-292.0,22.475,21.241,103.3866,89.0393,55.096,8.078,0.30554318,1.3528975,1812.4812,18.39
MIB,2014-07-31,-250.0,22.646,21.269,102.3536,89.74465,55.636,7.883,0.3055484,1.3527254,1748.828,20.91
MIB,2014-08-29,-458.0,22.891,21.37,101.1831,89.97232,56.01,7.78,0.31585702,1.2981601,1748.0098,20.04
MIB,2014-09-30,-125.0,23.087,21.642,99.5044,90.078445,57.081,8.125,0.3158885,1.2985781,1810.3967,21.65
MIB,2014-10-31,-708.0,23.261,21.65,99.4879,90.17999,56.554,8.566,0.3160288,1.2984642,1700.8995,25.05
MIB,2014-11-28,-500.0,23.432,21.847,100.2773,90.38969,56.268,8.557,0.23604253,1.0596433,1747.4824,20.64
MIB,2014-12-31,-250.0,23.669,21.878,99.766,90.27432,55.193,8.826,0.2422795,1.0677507,1669.7277,27.9
MIB,2015-01-30,-333.0,23.973,21.941,95.0027,90.60687,52.842,8.734,0.24168834,1.066242,1789.9894,25.55
MIB,2015-02-27,-292.0,24.472,22.666,94.296,91.13509,51.638,8.646,0.40206274,2.608757,2028.0544,20.08
MIB,2015-03-31,-250.0,24.798,23.452,91.6196,91.560394,51.48,7.5,0.40021268,2.6104207,2152.9556,20.47
MIB,2015-04-30,-167.0,24.688,25.734,93.4913,91.74899,52.311,7.307,0.4004087,2.6100848,2099.5042,24.3
MIB,2015-05-29,-43.0,25.077,26.033,92.9567,91.77412,53.069,6.91,0.41368866,0.45036063,2196.5957,22.52
MIB,2015-06-30,130.0,25.128,24.078,94.0362,91.73951,53.789,7.149,0.26346987,0.42101538,2126.7937,31.49
MIB,2015-07-31,-565.0,25.222,24.091,94.1742,92.23053,53.953,7.219,0.26968372,0.42174283,2263.142,21.46
MIB,2015-08-31,174.0,25.523,22.884,97.0847,92.56449,54.674,7.222,0.28045115,0.3833843,2103.4211,28.42
MIB,2015-09-30,-391.0,25.709,23.163,97.2454,92.50703,54.147,7.261,0.2837429,0.38346636,2036.1494,27.63
MIB,2015-10-30,-318.0,25.747,23.057,95.6574,92.47679,53.863,7.442,0.2785578,0.37295368,2149.5674,20.83
MIB,2015-11-30,-409.0,26.499,22.851,93.3097,92.71394,53.183,7.669,0.20090273,0.23491569,2153.302,21.2
MIB,2015-12-31,-455.0,26.35,22.804,96.1938,92.83055,52.878,7.703,0.19561544,0.2346096,2042.2887,21.51
MIB,2016-01-29,-565.0,26.443,22.993,97.3092,93.166046,51.38,8.084,0.21660213,0.2577612,1665.6282,31.86
MIB,2016-02-29,-652.0,25.589,24.84,97.144,93.84872,49.54,8.541,0.40969223,1.8384006,1529.53,34.95
MIB,2016-03-31,-435.0,25.375,26.831,98.5358,93.59779,47.84,7.908,0.4202444,1.8385272,1561.8497,25.28
MIB,2016-04-29,-91.0,25.922,26.842,98.4691,93.918564,48.82,7.37,0.4154892,1.8503462,1581.2412,24.94
MIB,2016-05-31,-455.0,26.041,26.87,97.9726,93.919876,47.942,7.623,0.29443353,0.56163436,1517.5376,23.68
MIB,2016-06-30,-227.0,26.584,27.028,97.4718,93.7624,48.611,7.892,0.2990627,0.59555465,1277.688,30.93
MIB,2016-07-29,-364.0,26.66,27.099,98.2312,94.14351,48.377,8.396,0.29920375,0.59546405,1374.1841,26.98
MIB,2016-08-31,-182.0,26.835,27.802,98.4708,94.38244,48.241,7.826,0.2820352,0.57123506,1437.9169,23.05
MIB,2016-09-30,-91.0,26.988,27.781,98.7489,93.97094,49.172,7.478,0.28151277,0.5714194,1377.8945,23.17
MIB,2016-10-31,-318.0,27.182,27.903,98.3871,94.17501,49.777,7.619,0.28147367,0.5717301,1483.8524,25.34
MIB,2016-11-30,273.0,27.384,28.669,97.598,94.43637,51.104,7.591,0.35443726,0.8383014,1522.8147,30.43
MIB,2016-12-30,429.0,27.386,28.713,97.6235,94.07385,51.087,7.822,0.39312223,0.8294635,1649.7196,23.53
MIB,2017-01-31,300.0,27.588,28.846,98.2981,94.48015,51.317,7.06,0.39319915,0.8288193,1635.9421,21.72
MIB,2017-02-28,368.0,27.701,30.291,96.7061,95.446365,49.983,5.455,0.16608778,2.700612,1674.7153,21.21
MIB,2017-03-31,105.0,29.091,30.637,96.9531,95.03262,51.329,5.732,0.17027876,2.6888158,1753.4224,22.42
MIB,2017-04-28,-150.0,29.376,30.709,98.1255,95.29596,53.161,6.063,0.17018242,2.6891005,1784.2515,18.42
MIB,2017-05-31,200.0,29.664,30.781,99.9222,95.19114,54.412,6.531,0.23113447,1.533474,1793.301,18.56
MIB,2017-06-30,190.0,29.237,30.29,101.1128,95.58351,55.319,6.435,0.22546338,1.5559617,1764.3123,18.41
MIB,2017-07-31,95.0,29.457,30.474,103.2942,96.162384,55.534,6.387,0.22560498,1.5564045,1846.9666,14.69
MIB,2017-08-31,286.0,29.773,29.156,103.4277,96.50664,56.402,6.915,0.38975063,1.8544322,1919.0148,14.98
MIB,2017-09-29,429.0,29.786,29.024,103.2752,95.821724,56.855,6.949,0.38956967,1.8545755,2031.7014,13.39
MIB,2017-10-31,0.0,30.035,29.105,102.6619,96.04886,57.418,6.907,0.39740977,1.8545333,2094.6558,12.69
MIB,2017-11-30,48.0,30.307,29.192,103.9053,96.61125,58.135,6.339,0.41666055,1.8012111,1981.549,13.21
MIB,2017-12-29,286.0,29.893,28.585,104.017,96.56851,58.339,6.053,0.44623634,1.8014208,1978.4175,13.99
MIB,2018-01-31,150.0,30.238,28.651,104.7608,96.917076,59.76,6.614,0.44634765,1.8014445,2120.8557,20.29
MIB,2018-02-28,0.0,30.802,30.064,104.0436,97.48601,62.302,6.655,1.0919511,3.385957,2013.7588,19.4
MIB,2018-03-30,-150.0,31.987,32.047,104.5948,97.2236,62.594,6.451,1.0917151,3.3858716,1955.1644,16.58
MIB,2018-04-30,200.0,32.456,32.141,104.4498,97.767456,63.711,6.333,1.0921959,3.384982,2041.0399,13.59
MIB,2018-05-31,238.0,32.349,31.538,102.9249,98.12182,65.697,6.669,1.0588071,2.048353,2052.7083,24.09
