,GC,CL,NG,HG,C,S,SI,SB,XBW,SM,BO,W,KC,CT,GC3,CL3,NG3,HG3,C3,S3,SI3,SB3,XBW3,SM3,BO3,W3,KC3,CT3
33897,81.5795 ,100.5962 ,117.0627 ,92.3016 ,74.1928 ,83.5520 ,82.3230 ,123.6498 ,104.1282 ,91.3300 ,79.4724 ,118.0756 ,53.0654 ,74.5388 ,81.0292 ,100.9610 ,98.6300 ,94.2500 ,81.1560 ,81.3180 ,81.5130 ,99.6400 ,108.9160 ,91.0764 ,81.2960 ,125.1680 ,53.2860 ,78.9740 
33904,80.0171 ,96.2443 ,109.9961 ,92.3476 ,72.5166 ,82.7584 ,81.4331 ,119.9029 ,100.7142 ,90.4385 ,77.9668 ,115.4907 ,54.4564 ,71.8138 ,79.4431 ,97.2370 ,95.0280 ,94.2040 ,79.6750 ,80.5560 ,80.6410 ,96.6200 ,105.2220 ,90.2368 ,79.7730 ,122.8550 ,54.8940 ,76.7400 
33911,80.0644 ,94.8701 ,115.0158 ,91.5665 ,74.4575 ,84.2322 ,82.0842 ,124.0661 ,99.8429 ,90.6861 ,80.4897 ,119.9935 ,55.4793 ,76.7607 ,79.5131 ,95.9800 ,98.3530 ,93.5540 ,81.8040 ,81.8630 ,81.3000 ,99.9750 ,104.1350 ,90.5331 ,82.2840 ,127.1250 ,56.2220 ,81.4150 
33918,78.1392 ,94.2287 ,114.0411 ,87.8175 ,72.9090 ,83.4764 ,79.1062 ,121.2906 ,97.8336 ,88.4078 ,80.5711 ,121.6151 ,51.7458 ,77.6868 ,77.6005 ,95.7480 ,98.3840 ,89.7380 ,80.1030 ,81.1940 ,78.3470 ,97.7870 ,103.4310 ,89.1795 ,82.2820 ,128.5170 ,53.0150 ,83.4520 
33925,79.1405 ,92.9461 ,110.1423 ,87.7606 ,75.9571 ,85.5548 ,81.6135 ,121.1518 ,96.5889 ,90.3890 ,83.5416 ,124.3162 ,56.6883 ,78.4433 ,78.5568 ,94.5630 ,95.1510 ,89.7220 ,83.0790 ,83.0320 ,80.8690 ,97.8970 ,101.7330 ,90.2583 ,85.1840 ,130.6080 ,57.7010 ,84.1170 
33932,79.0698 ,92.6254 ,99.3717 ,87.7153 ,76.2943 ,85.8571 ,81.3556 ,116.7110 ,96.5000 ,90.5375 ,85.0066 ,125.9984 ,54.8724 ,78.1954 ,78.4635 ,94.1440 ,89.2960 ,89.6660 ,83.7050 ,83.3910 ,80.5940 ,94.8060 ,101.6500 ,89.7196 ,86.9820 ,134.0820 ,55.8530 ,84.1020 
33939,79.2584 ,89.3730 ,92.3538 ,88.8043 ,74.1024 ,84.6101 ,81.0118 ,117.6824 ,92.8548 ,88.7050 ,83.1754 ,122.8863 ,59.7675 ,80.0133 ,78.6968 ,91.4860 ,89.2960 ,90.8720 ,81.3800 ,81.8460 ,80.2560 ,95.4690 ,98.9360 ,88.5932 ,84.8170 ,131.0770 ,60.4750 ,86.3040 
33946,79.3056 ,86.3698 ,95.8605 ,90.2564 ,73.7652 ,84.6251 ,81.0763 ,114.4906 ,91.2594 ,89.8144 ,82.0860 ,120.2789 ,61.5834 ,80.5366 ,78.7156 ,89.2940 ,90.7600 ,92.2430 ,80.9330 ,81.9180 ,80.2980 ,93.1510 ,97.8700 ,88.7891 ,83.7950 ,128.6360 ,62.8630 ,86.8440 
33953,79.0698 ,87.0928 ,100.9609 ,90.6194 ,75.0297 ,86.2294 ,79.9804 ,113.5191 ,91.9483 ,91.5282 ,84.7659 ,121.2041 ,62.1361 ,80.7845 ,78.4594 ,90.0400 ,91.6960 ,92.5190 ,82.2740 ,83.3910 ,79.2000 ,92.0470 ,97.9200 ,90.3073 ,86.4510 ,129.4810 ,63.3640 ,87.0480 
33960,78.4802 ,90.4058 ,100.0425 ,92.8429 ,73.8495 ,87.3171 ,79.6795 ,113.6579 ,95.8248 ,93.1644 ,84.4836 ,119.1854 ,64.3863 ,79.5726 ,77.8789 ,93.3040 ,91.3450 ,94.5900 ,80.9330 ,84.5770 ,78.9040 ,92.0470 ,100.8170 ,91.9724 ,86.3280 ,126.5700 ,65.8670 ,85.8670 
33967,78.4802 ,89.4982 ,97.2874 ,93.2060 ,73.3437 ,85.9294 ,78.7985 ,116.2947 ,95.1447 ,91.8257 ,82.8302 ,117.5032 ,61.2676 ,80.7018 ,77.8557 ,92.4650 ,91.8720 ,95.0130 ,80.3070 ,83.2120 ,78.0380 ,93.8130 ,100.3350 ,90.5521 ,84.9800 ,125.9130 ,62.7470 ,87.1360 
33974,77.5841 ,87.9097 ,94.6547 ,96.2463 ,73.0907 ,85.5543 ,79.4002 ,112.2701 ,94.9067 ,90.5366 ,84.0400 ,121.6247 ,56.6883 ,80.6743 ,76.9269 ,91.2530 ,90.6420 ,97.8560 ,80.2170 ,82.8520 ,78.6290 ,91.1640 ,99.9680 ,89.4257 ,86.0420 ,128.7300 ,58.6640 ,87.0340 
33981,77.5369 ,84.2335 ,93.2465 ,88.5321 ,74.6082 ,87.7297 ,79.4432 ,118.2375 ,90.3331 ,91.2803 ,87.7500 ,124.0639 ,56.4909 ,83.7041 ,76.9269 ,88.1870 ,89.1830 ,90.4670 ,81.7860 ,84.6030 ,78.6490 ,95.0980 ,96.1970 ,90.1203 ,89.7850 ,130.6660 ,59.0640 ,89.5170 
33988,77.4750 ,84.8689 ,92.3281 ,90.0295 ,74.1024 ,87.9548 ,79.3572 ,117.2661 ,92.0163 ,91.8257 ,87.7903 ,132.0544 ,51.7932 ,84.7645 ,76.7876 ,88.6350 ,89.9460 ,91.6890 ,81.5700 ,84.7940 ,78.5190 ,95.5820 ,97.0610 ,90.1576 ,89.9400 ,136.5620 ,54.7020 ,90.3690 
33995,77.9686 ,89.1351 ,97.2874 ,91.1640 ,73.0064 ,86.4545 ,79.5506 ,119.6253 ,95.6888 ,90.8837 ,85.0078 ,127.3442 ,45.7138 ,82.3544 ,77.2519 ,92.0080 ,93.2260 ,92.8750 ,80.4390 ,83.1200 ,78.6660 ,97.1190 ,100.2000 ,89.8172 ,87.0640 ,132.3110 ,49.1710 ,87.8740 
34002,77.7100 ,90.7689 ,96.0629 ,90.0295 ,71.7419 ,85.8168 ,78.9060 ,111.5763 ,95.0597 ,88.8508 ,84.3626 ,125.5779 ,50.0168 ,82.3269 ,77.0430 ,93.0250 ,95.6430 ,92.0940 ,79.3960 ,82.5500 ,78.0360 ,94.1560 ,100.4660 ,88.2610 ,86.3360 ,131.1970 ,53.5730 ,88.4940 
34009,77.4750 ,90.9687 ,103.5083 ,90.5025 ,71.9869 ,85.2308 ,79.5098 ,113.4364 ,93.8871 ,88.3837 ,83.3165 ,123.4234 ,46.8688 ,83.0334 ,76.8106 ,92.8870 ,98.9810 ,92.6540 ,79.4830 ,82.0510 ,78.6450 ,97.2280 ,100.1840 ,88.0665 ,85.4450 ,130.5900 ,49.5100 ,89.3160 
34016,78.3682 ,88.7265 ,106.8551 ,89.6894 ,71.5779 ,85.6189 ,79.7651 ,124.6050 ,90.2652 ,88.0378 ,84.5683 ,122.0370 ,49.4645 ,86.2026 ,77.7278 ,90.7150 ,99.9020 ,91.9560 ,79.1350 ,82.4430 ,78.9170 ,105.2390 ,97.1610 ,87.7747 ,86.8210 ,130.1850 ,51.6920 ,92.9920 
34023,77.9451 ,92.9472 ,108.4518 ,88.7875 ,71.4966 ,85.7309 ,76.9690 ,127.3566 ,93.9861 ,87.7913 ,83.6123 ,122.1268 ,48.6155 ,86.2977 ,77.2653 ,94.8740 ,99.2690 ,91.0370 ,78.8740 ,82.2650 ,76.1690 ,108.5310 ,100.8310 ,87.5316 ,85.8500 ,128.7670 ,50.8640 ,92.7470 
34030,77.6865 ,93.2195 ,109.0045 ,85.4958 ,72.3913 ,87.3731 ,76.5634 ,132.5976 ,93.7812 ,89.5166 ,85.2853 ,122.1268 ,47.5450 ,84.4638 ,77.0340 ,95.2900 ,100.4190 ,87.8650 ,79.9180 ,84.0810 ,75.7700 ,111.8240 ,101.0800 ,89.2822 ,87.6720 ,128.3630 ,50.6760 ,91.0460 
34037,76.9068 ,94.2180 ,115.5141 ,85.9016 ,71.8219 ,86.1788 ,76.3713 ,129.4530 ,95.6101 ,87.7913 ,84.2895 ,119.0736 ,47.0651 ,85.3876 ,76.2709 ,96.2130 ,104.0100 ,88.2580 ,79.2230 ,82.9910 ,75.5810 ,110.5610 ,102.5530 ,87.7425 ,86.5880 ,125.4760 ,49.3530 ,92.0120 
34044,77.4923 ,91.9488 ,114.4087 ,87.5701 ,71.9033 ,86.8133 ,78.2283 ,144.1278 ,93.1347 ,89.2701 ,83.4928 ,119.3430 ,44.7026 ,86.3248 ,76.8259 ,94.3080 ,102.8860 ,89.8990 ,79.0370 ,83.6460 ,77.3750 ,120.1740 ,100.0900 ,88.9315 ,86.4840 ,123.3880 ,46.9080 ,92.6090 
34051,78.1480 ,90.9049 ,122.9448 ,88.1112 ,74.0181 ,88.3062 ,78.1643 ,154.3478 ,91.6211 ,90.8475 ,84.7276 ,122.1268 ,45.4040 ,82.9968 ,77.4734 ,93.5220 ,105.7520 ,90.2640 ,80.9030 ,84.8030 ,77.3120 ,130.7120 ,99.4910 ,89.8227 ,87.2840 ,123.5880 ,47.5670 ,90.7500 
34058,79.3424 ,92.0396 ,125.4013 ,86.7584 ,74.9128 ,87.5971 ,83.2443 ,158.8026 ,94.9794 ,91.6855 ,82.4571 ,124.5513 ,41.8603 ,83.0647 ,78.6760 ,95.0480 ,111.7700 ,89.0780 ,81.3270 ,84.2070 ,82.3340 ,140.3020 ,101.2380 ,89.7289 ,85.9630 ,124.3890 ,44.1220 ,91.0920 
34065,79.4595 ,92.1303 ,132.2179 ,83.4215 ,74.5874 ,88.1196 ,82.2838 ,150.2860 ,94.3488 ,91.1433 ,84.8073 ,123.3839 ,41.1589 ,84.4367 ,78.7685 ,95.4640 ,118.6480 ,85.8390 ,81.3270 ,84.8730 ,81.3760 ,136.6320 ,101.3230 ,89.3067 ,88.6050 ,126.0900 ,43.4630 ,92.9510 
34072,79.3424 ,92.8979 ,144.4996 ,81.6118 ,75.8353 ,88.8079 ,82.7605 ,143.3066 ,95.3572 ,91.7345 ,85.2585 ,125.8356 ,40.2191 ,83.0488 ,78.6484 ,96.2040 ,132.9780 ,84.0230 ,82.5140 ,85.4340 ,81.8550 ,132.7250 ,102.4360 ,90.3856 ,88.6850 ,127.1910 ,42.5830 ,92.1330 
34079,79.8810 ,91.6255 ,145.7800 ,73.5641 ,75.3874 ,87.8307 ,83.8439 ,146.4378 ,94.2202 ,91.0793 ,84.0933 ,124.3182 ,39.4112 ,84.1682 ,79.1770 ,95.3710 ,130.6850 ,75.8040 ,82.0900 ,84.0320 ,82.9390 ,137.3420 ,101.0660 ,89.3067 ,87.6040 ,125.8900 ,41.7770 ,91.6870 
34086,82.4571 ,91.2672 ,145.7800 ,76.3797 ,72.3719 ,88.0157 ,87.2791 ,163.0015 ,93.4437 ,91.2259 ,84.3295 ,119.6288 ,44.4136 ,82.7741 ,81.7473 ,95.3250 ,133.0930 ,78.5950 ,78.7830 ,84.2070 ,86.3360 ,145.0380 ,100.7240 ,88.9315 ,88.0840 ,121.1860 ,46.8340 ,91.4200 
34093,83.3001 ,92.0733 ,142.8758 ,73.0278 ,73.3241 ,87.5346 ,91.0111 ,152.3355 ,95.3538 ,91.6657 ,82.7153 ,116.2365 ,42.0911 ,80.2138 ,82.5965 ,95.7870 ,130.2270 ,75.1740 ,79.8000 ,83.1210 ,90.0240 ,141.0120 ,101.8540 ,88.7439 ,86.4040 ,117.8840 ,44.3790 ,89.7840 
34100,83.6842 ,91.8494 ,134.8576 ,71.1507 ,72.6893 ,89.4962 ,90.6082 ,156.4764 ,94.6239 ,93.7179 ,84.4082 ,117.1344 ,43.0915 ,82.6266 ,83.1014 ,95.6210 ,124.4470 ,73.0450 ,79.2220 ,85.1890 ,89.6000 ,143.9720 ,101.3360 ,90.6670 ,88.0440 ,118.6640 ,45.4210 ,90.6910 
34107,88.0793 ,88.0876 ,141.5499 ,71.8658 ,72.7686 ,89.5702 ,98.0723 ,154.9706 ,91.3626 ,93.6690 ,84.4476 ,118.5313 ,45.2354 ,82.7473 ,87.5077 ,92.7320 ,126.4650 ,73.8070 ,79.4640 ,84.9790 ,97.0810 ,145.5120 ,98.8720 ,90.0572 ,88.2450 ,120.1380 ,47.4850 ,88.8760 
34114,88.7319 ,89.1176 ,131.5745 ,73.6088 ,71.3403 ,89.9404 ,98.4540 ,147.8181 ,91.7664 ,93.8645 ,84.6051 ,115.2387 ,45.3783 ,80.9510 ,88.1962 ,93.6540 ,121.7810 ,75.4310 ,78.6330 ,84.9430 ,97.4940 ,140.4200 ,99.1040 ,89.6351 ,88.3650 ,117.2400 ,47.6600 ,87.4780 
34121,86.5410 ,90.6402 ,137.5724 ,71.8658 ,69.6738 ,87.2014 ,93.4073 ,134.8935 ,91.5801 ,91.1771 ,82.7547 ,112.8442 ,43.7704 ,80.7634 ,85.9931 ,94.8540 ,126.2050 ,73.6720 ,76.5570 ,82.2090 ,92.5190 ,130.5930 ,100.7120 ,87.1960 ,86.5240 ,114.9230 ,46.1160 ,86.9730 
34128,87.5432 ,88.0232 ,133.7132 ,73.0189 ,69.9145 ,87.3788 ,93.2593 ,139.5243 ,87.2657 ,91.9392 ,81.8798 ,113.6446 ,41.7757 ,79.8229 ,87.0029 ,93.0080 ,126.7260 ,74.6550 ,77.3880 ,82.3140 ,92.4160 ,134.8640 ,98.1580 ,87.8058 ,85.6430 ,116.0820 ,44.1860 ,86.7790 
34135,86.4244 ,84.0504 ,135.1600 ,73.8481 ,67.7937 ,86.2145 ,90.9162 ,136.5710 ,84.0965 ,90.8694 ,79.7051 ,111.8355 ,43.7308 ,79.0229 ,85.8324 ,89.7790 ,126.7260 ,75.2410 ,75.2290 ,81.0170 ,90.1040 ,132.9780 ,95.1940 ,86.8208 ,83.3220 ,114.3430 ,46.3270 ,86.3330 
34142,86.1681 ,83.7875 ,135.8896 ,74.9603 ,69.7306 ,92.7431 ,90.3268 ,125.0780 ,84.0044 ,96.1223 ,86.7874 ,113.7027 ,43.8346 ,77.7977 ,85.6259 ,89.7790 ,127.9230 ,76.5050 ,77.6370 ,87.1520 ,89.5470 ,122.8800 ,95.0510 ,91.8396 ,90.7260 ,116.3710 ,46.4320 ,84.9950 
34149,88.4522 ,84.4448 ,137.4096 ,76.4283 ,69.5757 ,95.0561 ,96.7261 ,122.8772 ,84.9253 ,98.0860 ,89.3141 ,111.8355 ,41.9317 ,77.3485 ,87.9438 ,90.5170 ,130.8890 ,77.9930 ,77.5540 ,89.3260 ,95.8840 ,121.6640 ,95.7650 ,93.7158 ,93.3670 ,113.9570 ,44.2910 ,84.5040 
34156,91.6220 ,81.2458 ,132.3631 ,77.7185 ,77.2460 ,104.1215 ,107.8827 ,131.4358 ,82.1625 ,107.1189 ,97.0472 ,122.9404 ,49.5777 ,79.1590 ,91.1338 ,87.4720 ,125.2680 ,78.9950 ,85.8570 ,97.8450 ,106.9070 ,128.7200 ,93.0510 ,102.3463 ,101.4510 ,124.5800 ,51.3100 ,86.4820 
34163,91.9573 ,80.5446 ,130.6607 ,75.7610 ,72.9072 ,104.6065 ,106.6197 ,118.5979 ,82.5462 ,107.9044 ,95.4393 ,114.0958 ,50.9270 ,82.6847 ,91.5010 ,86.5960 ,123.8350 ,77.0460 ,81.2070 ,98.2950 ,105.6480 ,121.0550 ,92.7930 ,103.1128 ,99.9210 ,116.3710 ,53.3810 ,90.3340 
34170,91.4484 ,78.1783 ,122.5134 ,75.5386 ,74.9217 ,108.8967 ,106.5566 ,119.6983 ,79.5685 ,113.9918 ,95.9753 ,120.9750 ,50.0274 ,84.8628 ,90.9961 ,84.0990 ,121.5040 ,76.9200 ,83.2000 ,102.3870 ,105.5660 ,121.6640 ,90.2400 ,108.8757 ,100.3140 ,122.7450 ,52.4690 ,92.7130 
34177,91.2408 ,80.7199 ,128.2895 ,77.3181 ,75.7739 ,104.8676 ,107.0407 ,111.6288 ,82.1011 ,110.1135 ,92.3767 ,126.3800 ,50.3388 ,83.0659 ,90.7896 ,85.7250 ,122.5850 ,78.6700 ,83.0340 ,98.7160 ,106.0400 ,116.3100 ,92.9180 ,104.9200 ,96.7940 ,127.4770 ,52.8900 ,90.7500 
34184,94.0085 ,78.2221 ,133.0927 ,76.8287 ,74.7667 ,105.3526 ,113.3558 ,123.8553 ,79.7067 ,109.5735 ,94.9799 ,122.4491 ,54.8364 ,79.1181 ,93.5436 ,84.2790 ,123.2240 ,78.0480 ,82.2870 ,99.0310 ,112.2950 ,125.3130 ,90.6690 ,104.5433 ,99.4340 ,123.2280 ,57.3470 ,86.4370 
34191,88.6576 ,76.7601 ,135.0890 ,74.1614 ,74.1759 ,100.4655 ,100.1729 ,120.3096 ,82.0972 ,104.2225 ,92.2236 ,122.1499 ,51.9153 ,78.4103 ,88.2187 ,83.6020 ,124.7960 ,75.6380 ,81.6170 ,94.7640 ,99.2140 ,121.1770 ,90.3120 ,99.5987 ,96.5940 ,122.9180 ,54.5770 ,85.7120 
34198,86.4666 ,78.8698 ,140.3235 ,74.8441 ,73.4062 ,98.2271 ,98.9732 ,114.8077 ,85.4265 ,102.6515 ,90.1563 ,123.9123 ,49.3215 ,75.7285 ,85.9995 ,85.6350 ,126.5160 ,76.1710 ,80.6490 ,92.6310 ,98.0050 ,115.3370 ,92.7390 ,98.0917 ,94.6740 ,124.1040 ,52.1490 ,82.9710 
34205,86.4666 ,78.8275 ,138.6820 ,76.6155 ,73.7838 ,100.2043 ,99.5775 ,114.4409 ,84.8569 ,104.7625 ,91.6110 ,121.4148 ,51.7875 ,76.9673 ,85.9995 ,85.5000 ,123.8140 ,77.6480 ,81.2940 ,94.7290 ,98.5770 ,116.0670 ,92.8290 ,100.3521 ,96.1140 ,122.0900 ,54.4370 ,84.3500 
34212,86.6511 ,78.5311 ,138.2858 ,76.1727 ,71.7448 ,99.0105 ,101.7861 ,110.8952 ,84.9058 ,102.5533 ,91.4962 ,121.2227 ,51.9208 ,77.1579 ,86.1593 ,85.2740 ,125.8770 ,77.2360 ,79.2780 ,93.6100 ,100.7010 ,114.4850 ,93.0070 ,98.7510 ,95.9540 ,121.9940 ,54.5730 ,84.3210 
34219,81.3002 ,73.7473 ,134.0404 ,76.0398 ,70.3854 ,95.5784 ,89.5968 ,112.4846 ,80.2683 ,98.7242 ,89.3523 ,118.8213 ,52.1541 ,78.2061 ,80.8399 ,81.1160 ,122.3890 ,76.8870 ,77.9870 ,90.3230 ,88.6720 ,117.2840 ,88.3120 ,94.9837 ,93.7140 ,120.3640 ,54.9830 ,85.5400 
34226,80.0087 ,73.2393 ,127.9271 ,73.3826 ,71.5182 ,93.5265 ,83.4500 ,114.7548 ,79.3246 ,96.4168 ,88.2039 ,117.1883 ,55.0867 ,79.3632 ,79.5843 ,81.0730 ,120.2410 ,74.6410 ,78.8750 ,88.4270 ,82.6070 ,119.8390 ,87.8650 ,93.1867 ,92.3490 ,119.0210 ,57.8520 ,86.7450 
34233,84.1832 ,76.1181 ,130.3611 ,69.6183 ,73.3307 ,94.3473 ,87.8257 ,118.2499 ,82.1396 ,96.4168 ,89.6969 ,119.7819 ,51.3876 ,79.8124 ,83.7165 ,82.9310 ,120.0220 ,70.9710 ,80.8100 ,89.4680 ,86.9370 ,123.4890 ,90.2890 ,93.0465 ,93.7840 ,121.5150 ,54.3340 ,87.2970 
34240,82.4073 ,76.0334 ,130.3045 ,67.5811 ,73.4817 ,94.2354 ,85.4295 ,119.8809 ,80.9517 ,94.3550 ,92.4150 ,121.0306 ,51.5876 ,80.1936 ,81.9586 ,82.1790 ,120.4590 ,69.1000 ,80.8910 ,89.3290 ,84.5680 ,125.1920 ,90.3410 ,91.3173 ,96.2560 ,122.6660 ,54.4030 ,87.6450 
34247,81.8307 ,77.8538 ,123.2855 ,67.2268 ,71.4427 ,90.4301 ,85.1170 ,124.7740 ,82.7253 ,92.0476 ,86.9405 ,120.7424 ,47.9218 ,79.6899 ,81.3879 ,83.7270 ,118.8760 ,68.6880 ,78.9550 ,85.9990 ,84.2610 ,130.3020 ,91.3380 ,88.7937 ,91.2720 ,122.5700 ,50.8850 ,87.1370 
34254,85.1519 ,79.1527 ,121.3554 ,66.6068 ,73.7838 ,91.7548 ,92.5139 ,125.7060 ,85.2460 ,93.6083 ,86.8552 ,125.5452 ,48.2884 ,81.0784 ,84.6805 ,84.7000 ,117.2380 ,68.0170 ,81.4550 ,87.1780 ,91.5520 ,131.2750 ,92.8510 ,89.7751 ,91.7500 ,126.1190 ,51.2260 ,88.6760 
34261,85.4056 ,76.8962 ,121.9640 ,64.7910 ,76.7291 ,91.7837 ,92.3055 ,120.3469 ,82.9824 ,93.4616 ,87.7456 ,126.8900 ,50.8544 ,77.8249 ,84.9523 ,82.7100 ,117.4010 ,66.2720 ,84.6010 ,87.2480 ,91.3270 ,125.6780 ,90.2550 ,89.4947 ,92.3880 ,125.9270 ,53.8560 ,85.3370 
