,BOND,CANA,BUND,GILT,JGB
1998-02-25,5.6140 ,5.4700 ,4.9520 ,6.0260 ,1.9000 
1998-02-26,5.6550 ,5.4710 ,4.9300 ,6.0340 ,1.8700 
1998-02-27,5.6220 ,5.4750 ,4.9560 ,6.0900 ,1.8950 
1998-03-02,5.6970 ,5.5180 ,4.9320 ,6.0370 ,1.9100 
1998-03-03,5.7750 ,5.6080 ,4.9750 ,6.0970 ,1.9100 
1998-03-04,5.7200 ,5.6020 ,5.0530 ,6.1260 ,1.8900 
1998-03-05,5.7750 ,5.6160 ,5.0200 ,6.0640 ,1.8600 
1998-03-06,5.7140 ,5.5880 ,4.9980 ,6.0390 ,1.8900 
1998-03-09,5.6550 ,5.5250 ,4.9380 ,5.9740 ,1.8500 
1998-03-10,5.6530 ,5.4880 ,4.9110 ,5.9740 ,1.8300 
1998-03-11,5.6300 ,5.4490 ,4.9050 ,5.9860 ,1.7800 
1998-03-12,5.5590 ,5.3740 ,4.8610 ,5.9290 ,1.7900 
1998-03-13,5.5800 ,5.3890 ,4.8840 ,5.9610 ,1.8100 
1998-03-16,5.5390 ,5.3770 ,4.8670 ,5.9080 ,1.7650 
1998-03-17,5.5570 ,5.3710 ,4.8760 ,5.9560 ,1.7650 
1998-03-18,5.5720 ,5.3810 ,4.8630 ,5.9230 ,1.7400 
1998-03-19,5.5760 ,5.3760 ,4.9020 ,5.9800 ,1.7700 
1998-03-20,5.5640 ,5.3610 ,4.8650 ,5.9060 ,1.8100 
1998-03-23,5.5700 ,5.3580 ,4.8820 ,5.9180 ,1.7650 
1998-03-24,5.5700 ,5.3520 ,4.8580 ,5.9060 ,1.7900 
1998-03-25,5.6410 ,5.3600 ,4.8610 ,5.9060 ,1.7850 
1998-03-26,5.6890 ,5.3690 ,4.8640 ,5.9090 ,1.8250 
1998-03-27,5.6830 ,5.3800 ,4.8910 ,5.9330 ,1.8950 
1998-03-30,5.7060 ,5.4170 ,4.9260 ,5.9450 ,1.8950 
1998-03-31,5.6540 ,5.3750 ,4.9150 ,5.8800 ,1.8750 
1998-04-01,5.5870 ,5.3320 ,4.9360 ,5.9080 ,1.8400 
1998-04-02,5.5430 ,5.3060 ,4.9000 ,5.8150 ,1.8600 
1998-04-03,5.4800 ,5.2240 ,4.8390 ,5.7660 ,1.9400 
1998-04-06,5.5070 ,5.2220 ,4.8430 ,5.7660 ,1.9300 
1998-04-07,5.5300 ,5.2180 ,4.8630 ,5.7740 ,1.9150 
1998-04-08,5.5740 ,5.2580 ,4.8570 ,5.7530 ,1.9260 
1998-04-09,5.5800 ,5.2600 ,4.8530 ,5.7480 ,1.9400 
1998-04-10,5.5820 ,5.2610 ,4.8530 ,5.7520 ,1.8850 
1998-04-13,5.6480 ,5.2870 ,4.8560 ,5.7520 ,1.8600 
1998-04-14,5.6100 ,5.2690 ,4.8650 ,5.7360 ,1.8400 
1998-04-15,5.5930 ,5.2820 ,4.8730 ,5.7510 ,1.8100 
1998-04-16,5.5800 ,5.2790 ,4.8680 ,5.7750 ,1.8150 
1998-04-17,5.5870 ,5.2880 ,4.8580 ,5.7740 ,1.8000 
1998-04-20,5.6410 ,5.3300 ,4.8820 ,5.7860 ,1.7750 
1998-04-21,5.6710 ,5.3850 ,4.9140 ,5.7820 ,1.7900 
1998-04-22,5.6710 ,5.3700 ,4.9380 ,5.8460 ,1.7950 
1998-04-23,5.6960 ,5.4010 ,4.9370 ,5.8460 ,1.7950 
1998-04-24,5.6600 ,5.3670 ,4.9320 ,5.8130 ,1.8000 
1998-04-27,5.7840 ,5.4640 ,5.0280 ,5.9300 ,1.7700 
1998-04-28,5.8030 ,5.4800 ,5.0260 ,5.8890 ,1.7350 
1998-04-29,5.8120 ,5.5020 ,5.0360 ,5.8880 ,1.7350 
