,BOND,CANA,BUND,GILT,JGB
42625,127.8906 ,140.9900 ,157.8300 ,123.2500 ,150.1300 
42626,127.3750 ,140.0700 ,157.7800 ,122.9900 ,150.1600 
42627,127.8281 ,140.7300 ,158.0100 ,123.0400 ,150.2600 
42628,127.8438 ,140.5700 ,157.9600 ,122.9700 ,150.4000 
42629,127.7969 ,140.5000 ,158.4200 ,123.3300 ,150.3800 
42632,127.8125 ,140.7000 ,158.2200 ,123.1800 ,150.3800 
42633,127.8906 ,140.9600 ,158.6400 ,123.9600 ,150.6000 
42634,127.9844 ,141.1200 ,158.3100 ,123.8900 ,150.1700 
42635,128.2344 ,141.6600 ,159.6400 ,124.7500 ,150.1700 
42636,128.4063 ,142.4800 ,159.4600 ,124.6900 ,150.4400 
42639,128.6875 ,143.0400 ,159.9100 ,124.9100 ,150.5300 
42640,128.8906 ,143.4200 ,160.3800 ,125.3500 ,150.8200 
42641,128.7969 ,143.2600 ,160.5400 ,125.3000 ,151.0300 
42642,128.9063 ,143.5900 ,160.1400 ,124.8600 ,150.9800 
42643,128.5000 ,142.8100 ,160.1100 ,124.4300 ,151.0100 
42646,128.3281 ,142.8100 ,159.8200 ,124.5900 ,150.8300 
42647,127.8906 ,142.2000 ,159.7200 ,124.3400 ,150.7700 
42648,127.6094 ,141.8500 ,158.6800 ,123.7500 ,150.7300 
42649,127.3438 ,141.2000 ,158.6400 ,123.1700 ,150.6700 
42650,127.4531 ,140.9500 ,158.3800 ,122.2700 ,150.6600 
42653,127.2031 ,140.9500 ,157.9000 ,121.7200 ,150.6600 
42654,127.2813 ,140.7000 ,158.1900 ,122.0000 ,150.4800 
42655,127.2188 ,140.4700 ,157.7900 ,121.4800 ,150.5300 
42656,127.5781 ,140.7600 ,158.2300 ,121.7600 ,150.5400 
42657,127.2500 ,140.0300 ,157.9400 ,120.9000 ,150.5100 
42660,127.5156 ,140.3900 ,157.9500 ,120.7200 ,150.5100 
42661,127.6875 ,140.6600 ,158.2100 ,121.1500 ,150.4800 
42662,127.6563 ,140.7000 ,158.2900 ,121.1500 ,150.5200 
