,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-03-23,0.004044533,0.0037002563,0.0020953417,-0.0040614605,0.0,0.0043650866,0.002024293,0.03236258,0.0029889345,-0.017772496,-0.0060503483,-0.00390625,0.0070648193,0.004871249
1992-03-24,-0.0015106201,0.000921607,0.004704714,-0.00070923567,0.0038404465,0.0014816523,-0.0053872466,0.0039185286,-0.0021285415,0.004825115,0.0,-0.0072829127,-0.0108418465,0.0005193949
1992-03-25,0.0020171404,-0.0046040416,-0.0015608072,0.01082325,0.00441432,-0.003452003,-0.04062289,0.07650268,0.004266262,-0.0012004972,-0.0012173653,0.009029388,-0.009671152,-0.0019034743
1992-03-26,-0.0065425634,0.0046253204,0.004689932,0.017026424,-0.00058591366,0.0025732517,-0.001411438,-0.04133427,-0.0042480826,-0.008413434,0.000731349,0.0005592108,0.005859375,0.015083194
1992-03-27,0.0005066395,-0.0055248737,-0.006224096,0.014497757,0.004104376,-0.0009872317,-0.007773876,0.003025651,-0.0029863715,0.01575756,0.012180328,-0.0061486363,-0.004530728,-0.00119555
1992-03-30,0.0010126829,-0.012962937,0.004697323,-0.012078941,-0.0017421842,0.000988245,-0.032051265,0.004524946,0.0025674105,0.017899752,-0.0036101937,0.005061865,-0.002600789,0.0015054941
1992-03-31,0.00303483,-0.0084427595,0.009870172,0.01773715,0.0049448013,0.0033563375,0.008094192,0.018768787,0.00426805,0.01758504,0.0007246733,0.0,-0.011734009,0.011525035
1992-04-01,-0.011094272,-0.01608324,0.02057612,-0.0076141357,-0.0026049018,0.0104289055,0.01386857,0.017686129,-0.018699527,0.010368705,-0.00965482,-0.017347455,-0.025725603,0.028566718
1992-04-02,-0.0020398498,-0.0028846264,-0.0020161867,0.0127877,-0.0063842535,0.007692337,0.0064795017,-0.020999312,-0.0030316114,0.041049004,-0.003899634,-0.0068337917,-0.017603278,-0.0091507435
1992-04-03,0.0015330315,0.003857255,0.02474761,0.018350124,0.0008761883,-0.0042515397,0.021459222,-0.02440828,0.001303196,0.0054764748,0.0,-0.0011467934,0.012405276,0.015068054
1992-04-06,0.00051021576,0.0067243576,0.0078856945,-0.0026450753,-0.0026262999,-0.0033964515,0.0056022406,-0.0030325651,0.0030368567,-0.019607902,0.005627632,0.00057411194,0.0068073273,0.013088584
